Title,rating,nor,link
"Desi Tandoor Indian food Takeout, Delivery & Catering",4.4,741,"https://www.google.com/maps/place/Desi+Tandoor+Indian+food+Takeout,+Delivery+%26+Catering/data=!4m6!3m5!1s0x882b168e276e7d69:0x77724d6606c6b954!8m2!3d43.7280179!4d-79.7964352!16s%2Fg%2F11f2ry6m2v?authuser=0&hl=en&rclk=1"
Punjabi By Nature,2.8,739,https://www.google.com/maps/place/Punjabi+By+Nature/data=!4m6!3m5!1s0x882b3d6be0ef0a3d:0xe9d572999f628675!8m2!3d43.7622733!4d-79.7229578!16s%2Fg%2F1hc5lkyj6?authuser=0&hl=en&rclk=1
Tandoori Style Restaurant,4.1,725,https://www.google.com/maps/place/Tandoori+Style+Restaurant/data=!4m6!3m5!1s0x882b3c25aece900b:0x408fdfd9c4ab9192!8m2!3d43.7122409!4d-79.6812824!16s%2Fg%2F1tf5l8l4?authuser=0&hl=en&rclk=1
Dabang Bistro,4.1,714,https://www.google.com/maps/place/Dabang+Bistro/data=!4m6!3m5!1s0x882b6bcb0da9407b:0xafcafc5a780337e!8m2!3d43.6344152!4d-79.78711!16s%2Fg%2F11gxsss896?authuser=0&hl=en&rclk=1
Saaral - Moving to 220 County Crt Blvd Brampton L6W 4K7,4.0,711,https://www.google.com/maps/place/Saaral+-+Moving+to+220+County+Crt+Blvd+Brampton+L6W+4K7/data=!4m6!3m5!1s0x882b1783d1178d45:0x3374a8213eff3ee!8m2!3d43.7190425!4d-79.7822461!16s%2Fg%2F11jcwn2c86?authuser=0&hl=en&rclk=1
Magadhi,4.5,702,https://www.google.com/maps/place/Magadhi/data=!4m6!3m5!1s0x882b15499c05730b:0x7c33d9934cada2d8!8m2!3d43.6443642!4d-79.7564164!16s%2Fg%2F11gycrtvkg?authuser=0&hl=en&rclk=1
Chaats n Dosa,3.9,680,https://www.google.com/maps/place/Chaats+n+Dosa/data=!4m6!3m5!1s0x882b141908a7e463:0x7df4c42f8c1af817!8m2!3d43.710073!4d-79.810767!16s%2Fg%2F11fzjp8rk2?authuser=0&hl=en&rclk=1
Sheridan College Davis Campus,3.9,672,https://www.google.com/maps/place/Sheridan+College+Davis+Campus/data=!4m6!3m5!1s0x882b3fbfe8f0ad5b:0xcd97e708c1197e9e!8m2!3d43.6559789!4d-79.7387351!16s%2Fg%2F11fj32b4qs?authuser=0&hl=en&rclk=1
Bombay Grill Restaurant,4.2,638,https://www.google.com/maps/place/Bombay+Grill+Restaurant/data=!4m6!3m5!1s0x882c9a10c6e15b1d:0x99208becdfb03137!8m2!3d43.1986993!4d-79.8434126!16s%2Fg%2F1hc0_bmsc?authuser=0&hl=en&rclk=1
Street Bitez,4.0,616,https://www.google.com/maps/place/Street+Bitez/data=!4m6!3m5!1s0x882b3f83622e8c3d:0xada21ec34e913779!8m2!3d43.6811643!4d-79.7291722!16s%2Fg%2F11mqnghjt4?authuser=0&hl=en&rclk=1
Doaba Sweets And Restaurant,3.6,612,https://www.google.com/maps/place/Doaba+Sweets+And+Restaurant/data=!4m6!3m5!1s0x882b14f4e8e4beab:0xb4d5eecbd5344ea!8m2!3d43.6753979!4d-79.8055061!16s%2Fg%2F11f_f6dhjm?authuser=0&hl=en&rclk=1
Indian Curry Express & Bar: Fine Dine Indian Cuisine | Best Momo | Halal Cuisine | Best Tandoori |,4.5,603,https://www.google.com/maps/place/Indian+Curry+Express+%26+Bar:+Fine+Dine+Indian+Cuisine+%7C+Best+Momo+%7C+Halal+Cuisine+%7C+Best+Tandoori+%7C/data=!4m6!3m5!1s0x882b15571fe96247:0xceb39ebb7186c3e1!8m2!3d43.6851179!4d-79.760593!16s%2Fg%2F11hz169h5q?authuser=0&hl=en&rclk=1
New India Curry Mahal,3.4,599,https://www.google.com/maps/place/New+India+Curry+Mahal/data=!4m6!3m5!1s0x882b145facdbd2bd:0x52329dca221c0c21!8m2!3d43.6814485!4d-79.80497!16s%2Fg%2F1tczl2xv?authuser=0&hl=en&rclk=1
Avani Indian Bistro Brampton,4.2,590,https://www.google.com/maps/place/Avani+Indian+Bistro+Brampton/data=!4m6!3m5!1s0x882b178c9a575d1d:0x4c9b7438cef308e9!8m2!3d43.7578807!4d-79.7178113!16s%2Fg%2F11kmz_n9sh?authuser=0&hl=en&rclk=1
Vinayagar Vilas,4.4,584,https://www.google.com/maps/place/Vinayagar+Vilas/data=!4m6!3m5!1s0x882b158a779b3b33:0x8d8ef868c6ae4b66!8m2!3d43.6882485!4d-79.7404217!16s%2Fg%2F1jkyx3r65?authuser=0&hl=en&rclk=1
Prem Sweets & Restaurant,3.8,566,https://www.google.com/maps/place/Prem+Sweets+%26+Restaurant/data=!4m6!3m5!1s0x882b143327aa9fd7:0x97feb74cfd95516d!8m2!3d43.702675!4d-79.7857179!16s%2Fg%2F12mk_3lwr?authuser=0&hl=en&rclk=1
The Indian Cuisine,4.2,565,https://www.google.com/maps/place/The+Indian+Cuisine/data=!4m6!3m5!1s0x882b2cfe9bcc414f:0xa14180194f4e6266!8m2!3d43.7953271!4d-79.4347584!16s%2Fg%2F1pp2vhnjx?authuser=0&hl=en&rclk=1
